Institutions,Inst_cap,Dual Enrollment,,,Freshman,,,,Sophomore,,,,,,Junior,,,,,Senior,,,,Graduate,,,,,First Professional,,,,,,,Transient,,,,,Res & Interns,,,,,All Others,,,,,Total Enrollment,,
Columbus State University,COLUMBUS STATE UNIVERSITY,467,,,"1,668",,,,"1,139",,,,,,"1,112",,,,,"1,600",,,,"1,790",,,,,0,,,,,,,14,,,,,0,,,,,147,,,,,"7,937",,
Fort Valley State University,FORT VALLEY STATE UNIVERSITY,17,,,"1,199",,,,579,,,,,,439,,,,,458,,,,198,,,,,0,,,,,,,0,,,,,0,,,,,15,,,,,"2,905",,
Georgia College and State University,GEORGIA COLLEGE AND STATE UNIVERSITY,36,,,"1,973",,,,"1,616",,,,,,"1,157",,,,,"1,206",,,,"1,091",,,,,0,,,,,,,16,,,,,0,,,,,2,,,,,"7,097",,
Georgia Southwestern State University,GEORGIA SOUTHWESTERN STATE UNIVERSITY,434,,,834,,,,514,,,,,,467,,,,,590,,,,676,,,,,0,,,,,,,127,,,,,0,,,,,62,,,,,"3,704",,
Middle Georgia State University,MIDDLE GEORGIA STATE UNIVERSITY,"1,018",,,"2,162",,,,"1,393",,,,,,"1,312",,,,,"1,748",,,,672,,,,,0,,,,,,,20,,,,,0,,,,,84,,,,,"8,409",,
Savannah State University,SAVANNAH STATE UNIVERSITY,97,,,"1,108",,,,652,,,,,,508,,,,,570,,,,229,,,,,0,,,,,,,3,,,,,0,,,,,41,,,,,"3,208",,
University of North Georgia,UNIVERSITY OF NORTH GEORGIA,"2,055",,,"5,983",,,,"4,069",,,,,,"3,026",,,,,"2,897",,,,969,,,,,0,,,,,,,75,,,,,0,,,,,224,,,,,"19,298",,
State Universities,STATE UNIVERSITIES,"5,495",,,"18,452",,,,"12,356",,,,,,"10,048",,,,,"11,391",,,,"6,854",,,,,0,,,,,,,273,,,,,0,,,,,670,,,,,"65,539",,
Abraham Baldwin Agricultural College,ABRAHAM BALDWIN AGRICULTURAL COLLEGE,604,,,"1,250",,,,802,,,,,,544,,,,,613,,,,0,,,,,0,,,,,,,11,,,,,0,,,,,2,,,,,"3,826",,
Atlanta Metropolitan State College,ATLANTA METROPOLITAN STATE COLLEGE,292,,,614,,,,326,,,,,,172,,,,,117,,,,0,,,,,0,,,,,,,31,,,,,0,,,,,38,,,,,"1,590",,
College of Coastal Georgia,COLLEGE OF COASTAL GEORGIA,465,,,"1,171",,,,792,,,,,,460,,,,,506,,,,0,,,,,0,,,,,,,8,,,,,0,,,,,74,,,,,"3,476",,
Dalton State College,DALTON STATE COLLEGE,558,,,"1,779",,,,"1,023",,,,,,733,,,,,"1,037",,,,0,,,,,0,,,,,,,0,,,,,0,,,,,10,,,,,"5,140",,
East Georgia State College,EAST GEORGIA STATE COLLEGE,403,,,"1,073",,,,278,,,,,,59,,,,,5,,,,0,,,,,0,,,,,,,1,,,,,0,,,,,7,,,,,"1,826",,
Georgia Gwinnett College,GEORGIA GWINNETT COLLEGE,684,,,"4,987",,,,"2,571",,,,,,"1,844",,,,,"1,959",,,,0,,,,,0,,,,,,,31,,,,,0,,,,,169,,,,,"12,245",,
Georgia Highlands College,GEORGIA HIGHLANDS COLLEGE,570,,,"2,313",,,,"1,366",,,,,,644,,,,,369,,,,0,,,,,0,,,,,,,32,,,,,0,,,,,92,,,,,"5,386",,
Gordon State College,GORDON STATE COLLEGE,624,,,"1,074",,,,625,,,,,,457,,,,,431,,,,0,,,,,0,,,,,,,11,,,,,0,,,,,10,,,,,"3,232",,
South Georgia State College,SOUTH GEORGIA STATE COLLEGE,424,,,707,,,,408,,,,,,207,,,,,139,,,,0,,,,,0,,,,,,,3,,,,,0,,,,,11,,,,,"1,899",,
